Date,Open,High,Low,Close,Volume
2025-12-31 23:00:00,1.17516,1.17525,1.17487,1.17489,225
2025-12-31 23:05:00,1.17489,1.17496,1.17468,1.17485,75
2025-12-31 23:10:00,1.17485,1.17485,1.17468,1.17472,73
2025-12-31 23:15:00,1.17471,1.17472,1.17459,1.17464,85
2025-12-31 23:20:00,1.17466,1.1748,1.17466,1.1747,88
2025-12-31 23:25:00,1.17469,1.1747,1.17459,1.17464,85
2025-12-31 23:30:00,1.17463,1.17467,1.17459,1.17464,39
2025-12-31 23:35:00,1.17464,1.17466,1.17462,1.17465,52
2025-12-31 23:40:00,1.17466,1.17474,1.17465,1.17468,66
2025-12-31 23:45:00,1.17468,1.17475,1.17459,1.17461,124
2025-12-31 23:50:00,1.17461,1.17464,1.17446,1.17453,132
2025-12-31 23:55:00,1.17454,1.1746,1.17449,1.17455,57
2026-01-02 00:00:00,1.17486,1.17487,1.17455,1.17476,12
2026-01-02 00:05:00,1.17476,1.17483,1.17476,1.1748,14
2026-01-02 00:10:00,1.1748,1.17501,1.1748,1.17493,31
2026-01-02 00:15:00,1.17493,1.17493,1.17485,1.17485,124
2026-01-02 00:20:00,1.17486,1.17487,1.17482,1.17487,528
2026-01-02 00:25:00,1.17485,1.17488,1.17478,1.17478,24
2026-01-02 00:30:00,1.17478,1.17479,1.17478,1.17478,7
2026-01-02 00:35:00,1.17478,1.17479,1.17463,1.17479,8
2026-01-02 00:40:00,1.17479,1.17481,1.17474,1.17476,29
2026-01-02 00:45:00,1.17476,1.17476,1.17472,1.17474,23
2026-01-02 00:50:00,1.17474,1.17484,1.17466,1.17476,74
2026-01-02 00:55:00,1.17476,1.17476,1.17465,1.17471,60
2026-01-02 01:00:00,1.17481,1.1749,1.17469,1.17476,119
2026-01-02 01:05:00,1.17476,1.17485,1.1747,1.1748,83
2026-01-02 01:10:00,1.1748,1.17484,1.17457,1.17464,104
2026-01-02 01:15:00,1.17464,1.17475,1.17459,1.17474,80
2026-01-02 01:20:00,1.17474,1.17485,1.17474,1.17484,69
2026-01-02 01:25:00,1.17484,1.17491,1.17468,1.17468,64
2026-01-02 01:30:00,1.17468,1.17486,1.17464,1.17485,69
2026-01-02 01:35:00,1.17486,1.17494,1.17481,1.17484,57
2026-01-02 01:40:00,1.17484,1.17495,1.17483,1.17494,66
2026-01-02 01:45:00,1.17494,1.17499,1.17484,1.17484,61
2026-01-02 01:50:00,1.17484,1.17496,1.17484,1.17495,68
2026-01-02 01:55:00,1.17495,1.17507,1.17493,1.17507,42
2026-01-02 02:00:00,1.17507,1.1751,1.17499,1.17505,103
2026-01-02 02:05:00,1.17505,1.17528,1.17499,1.17527,73
2026-01-02 02:10:00,1.17527,1.17532,1.17523,1.17526,93
2026-01-02 02:15:00,1.17526,1.17526,1.17515,1.17521,55
2026-01-02 02:20:00,1.17521,1.17524,1.17512,1.17518,79
2026-01-02 02:25:00,1.17518,1.17518,1.17513,1.17516,61
2026-01-02 02:30:00,1.17516,1.17526,1.17516,1.17516,69
2026-01-02 02:35:00,1.17517,1.17527,1.17511,1.17516,103
2026-01-02 02:40:00,1.17516,1.17522,1.17509,1.17522,74
2026-01-02 02:45:00,1.17521,1.17537,1.17519,1.17533,115
2026-01-02 02:50:00,1.17533,1.17549,1.17533,1.17547,99
2026-01-02 02:55:00,1.17547,1.17562,1.17546,1.1756,126
2026-01-02 03:00:00,1.17561,1.17588,1.17561,1.17584,188
2026-01-02 03:05:00,1.17584,1.17604,1.17574,1.17581,208
2026-01-02 03:10:00,1.17581,1.17582,1.17563,1.17566,128
2026-01-02 03:15:00,1.17566,1.17586,1.17565,1.17584,160
2026-01-02 03:20:00,1.17584,1.17591,1.1758,1.17587,104
2026-01-02 03:25:00,1.17587,1.17601,1.17581,1.17601,71
2026-01-02 03:30:00,1.17601,1.17617,1.17582,1.17584,131
2026-01-02 03:35:00,1.17584,1.17592,1.17581,1.17584,98
2026-01-02 03:40:00,1.17584,1.17603,1.17584,1.176,68
2026-01-02 03:45:00,1.17601,1.17617,1.17592,1.17617,105
2026-01-02 03:50:00,1.17616,1.17626,1.17609,1.17611,111
2026-01-02 03:55:00,1.17611,1.17619,1.17606,1.17607,108
2026-01-02 04:00:00,1.17607,1.17629,1.17599,1.17627,140
2026-01-02 04:05:00,1.17627,1.17636,1.17622,1.17632,95
2026-01-02 04:10:00,1.17632,1.17633,1.17623,1.17632,63
2026-01-02 04:15:00,1.17632,1.17633,1.17615,1.17619,99
2026-01-02 04:20:00,1.17618,1.17619,1.17609,1.17617,60
2026-01-02 04:25:00,1.17617,1.17619,1.17606,1.1761,95
2026-01-02 04:30:00,1.1761,1.1761,1.17594,1.17599,92
2026-01-02 04:35:00,1.17599,1.17601,1.17589,1.1759,110
2026-01-02 04:40:00,1.1759,1.17601,1.17583,1.17601,118
2026-01-02 04:45:00,1.17601,1.17601,1.17593,1.17594,52
2026-01-02 04:50:00,1.17594,1.17596,1.17581,1.17581,76
2026-01-02 04:55:00,1.17581,1.17591,1.1758,1.17591,65
2026-01-02 05:00:00,1.17591,1.1762,1.1759,1.17616,76
2026-01-02 05:05:00,1.17616,1.17621,1.17605,1.17615,80
2026-01-02 05:10:00,1.17615,1.17617,1.17606,1.17616,46
2026-01-02 05:15:00,1.17617,1.17621,1.17609,1.17621,77
2026-01-02 05:20:00,1.17621,1.17621,1.1761,1.1762,45
2026-01-02 05:25:00,1.1762,1.17631,1.17617,1.17628,42
2026-01-02 05:30:00,1.17628,1.17631,1.1762,1.17621,62
2026-01-02 05:35:00,1.17621,1.1763,1.17618,1.1762,98
2026-01-02 05:40:00,1.17621,1.17635,1.17621,1.17635,90
2026-01-02 05:45:00,1.17635,1.17638,1.17631,1.17635,58
2026-01-02 05:50:00,1.17635,1.17648,1.17634,1.17644,66
2026-01-02 05:55:00,1.17644,1.17645,1.17636,1.17642,73
2026-01-02 06:00:00,1.17642,1.17646,1.17636,1.17644,106
2026-01-02 06:05:00,1.17644,1.17644,1.17628,1.17631,44
2026-01-02 06:10:00,1.17631,1.17631,1.17604,1.17607,64
2026-01-02 06:15:00,1.17607,1.17612,1.17604,1.17612,85
2026-01-02 06:20:00,1.17612,1.17612,1.17591,1.17596,122
2026-01-02 06:25:00,1.17596,1.17596,1.17579,1.17582,138
2026-01-02 06:30:00,1.17581,1.17583,1.17566,1.17566,110
2026-01-02 06:35:00,1.17566,1.1757,1.1756,1.1757,146
2026-01-02 06:40:00,1.1757,1.1757,1.17551,1.17556,107
2026-01-02 06:45:00,1.17556,1.1757,1.17554,1.17569,87
2026-01-02 06:50:00,1.17569,1.1757,1.17556,1.1756,82
2026-01-02 06:55:00,1.1756,1.17561,1.1755,1.17555,112
2026-01-02 07:00:00,1.17555,1.17555,1.17547,1.17548,91
2026-01-02 07:05:00,1.17548,1.17554,1.17547,1.1755,64
2026-01-02 07:10:00,1.1755,1.17557,1.1755,1.17556,68
2026-01-02 07:15:00,1.17556,1.17564,1.17554,1.17555,61
2026-01-02 07:20:00,1.17556,1.17564,1.17552,1.17564,65
2026-01-02 07:25:00,1.17562,1.17567,1.17558,1.17567,63
2026-01-02 07:30:00,1.17567,1.17574,1.17563,1.17571,48
2026-01-02 07:35:00,1.17571,1.17576,1.17559,1.17566,78
2026-01-02 07:40:00,1.17566,1.17567,1.17554,1.1756,60
2026-01-02 07:45:00,1.1756,1.17565,1.17523,1.17534,88
2026-01-02 07:50:00,1.17534,1.17535,1.1752,1.17527,50
2026-01-02 07:55:00,1.17527,1.17541,1.17506,1.17512,150
2026-01-02 08:00:00,1.17512,1.17512,1.17485,1.17486,102
2026-01-02 08:05:00,1.17486,1.1749,1.17475,1.17485,108
2026-01-02 08:10:00,1.17485,1.17492,1.17469,1.17469,104
2026-01-02 08:15:00,1.1747,1.1747,1.17449,1.17467,170
2026-01-02 08:20:00,1.17468,1.17469,1.17433,1.17443,165
2026-01-02 08:25:00,1.17443,1.17449,1.17432,1.17435,163
2026-01-02 08:30:00,1.17435,1.17436,1.17414,1.17422,140
2026-01-02 08:35:00,1.17422,1.17441,1.1742,1.17437,90
2026-01-02 08:40:00,1.17437,1.17437,1.17428,1.1743,53
2026-01-02 08:45:00,1.1743,1.17442,1.17426,1.17437,58
2026-01-02 08:50:00,1.17437,1.17453,1.17426,1.17442,144
2026-01-02 08:55:00,1.17442,1.17442,1.1742,1.17437,101
2026-01-02 09:00:00,1.17436,1.17442,1.1742,1.17441,218
2026-01-02 09:05:00,1.17441,1.17458,1.17432,1.17448,165
2026-01-02 09:10:00,1.17448,1.17454,1.17439,1.17449,187
2026-01-02 09:15:00,1.17449,1.17451,1.17435,1.17451,149
2026-01-02 09:20:00,1.17451,1.17469,1.17432,1.17437,147
2026-01-02 09:25:00,1.17437,1.17455,1.17414,1.17414,140
2026-01-02 09:30:00,1.17414,1.17414,1.17321,1.17327,386
2026-01-02 09:35:00,1.17327,1.1738,1.17324,1.1738,268
2026-01-02 09:40:00,1.1738,1.1739,1.17354,1.17357,274
2026-01-02 09:45:00,1.17357,1.17366,1.17322,1.17332,302
2026-01-02 09:50:00,1.17332,1.17358,1.1733,1.17345,310
2026-01-02 09:55:00,1.17345,1.1739,1.17343,1.17347,391
2026-01-02 10:00:00,1.17347,1.17382,1.17312,1.17318,633
2026-01-02 10:05:00,1.17318,1.17349,1.17304,1.1734,408
2026-01-02 10:10:00,1.1734,1.17372,1.17339,1.17346,314
